,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,aspiration_std,aspiration_turbo,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration_std,aspiration_turbo
0,3.0,,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000,21.0,27.0,13495,True,False,Low,False,True,True,False
1,3.0,,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000,21.0,27.0,16500,True,False,Low,False,True,True,False
2,1.0,,alfa-romero,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000,19.0,26.0,16500,True,False,Medium,False,True,True,False
3,2.0,164,audi,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500,24.0,30.0,13950,True,False,Low,False,True,True,False
4,2.0,164,audi,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500,18.0,22.0,17450,True,False,Low,False,True,True,False
5,2.0,,audi,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500,19.0,25.0,15250,True,False,Low,False,True,True,False
6,1.0,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500,19.0,25.0,17710,True,False,Low,False,True,True,False
7,1.0,,audi,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500,19.0,25.0,18920,True,False,Low,False,True,True,False
8,1.0,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500,17.0,20.0,23875,False,True,Medium,False,True,False,True
9,2.0,192,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800,23.0,29.0,16430,True,False,Low,False,True,True,False
10,0.0,192,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800,23.0,29.0,16925,True,False,Low,False,True,True,False
11,0.0,188,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250,21.0,28.0,20970,True,False,Medium,False,True,True,False
12,0.0,188,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250,21.0,28.0,21105,True,False,Medium,False,True,True,False
13,1.0,,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250,20.0,25.0,24565,True,False,Medium,False,True,True,False
14,0.0,,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400,16.0,22.0,30760,True,False,Medium,False,True,True,False
15,0.0,,bmw,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400,16.0,22.0,41315,True,False,Medium,False,True,True,False
16,0.0,,bmw,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400,15.0,20.0,36880,True,False,Medium,False,True,True,False
17,2.0,121,chevrolet,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100,47.0,53.0,5151,True,False,Low,False,True,True,False
18,1.0,98,chevrolet,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400,38.0,43.0,6295,True,False,Low,False,True,True,False
19,0.0,81,chevrolet,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400,38.0,43.0,6575,True,False,Low,False,True,True,False
20,1.0,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500,37.0,41.0,5572,True,False,Low,False,True,True,False
21,1.0,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6377,True,False,Low,False,True,True,False
22,1.0,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500,24.0,30.0,7957,False,True,Low,False,True,False,True
23,1.0,148,dodge,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6229,True,False,Low,False,True,True,False
24,1.0,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6692,True,False,Low,False,True,True,False
25,1.0,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,7609,True,False,Low,False,True,True,False
