Membership No  Date Joined  Active  
    85746      2016-8-22    no    
    15212      2018-7-2     yes   
    58379      2019-6-9     yes   
    20161      2020-2-4     no    
    30086      2016-1-13    no    
    96587      2018-8-3     yes   
    19951      2018-11-15   yes   
    60349      2016-11-22   yes   
    12444      2017-1-24    yes   
    51088      2017-2-16    no    
    99892      2020-7-4     no    
    79680      2018-2-8     no    
    12450      2019-10-4    no    
    49075      2016-10-5    yes   
    41717      2017-12-20   yes   
    59528      2020-12-6    no    
    23111      2016-7-15    no    
    64004      2017-11-6    no    
    83347      2020-10-15   yes   
    53443      2017-6-15    yes   
